chunk_id,image_id
20230817Drawings_p1_img1_cap,20230817Drawings_p1_img1
20230905CAADRIASteenblik_p1_img1_cap,20230905CAADRIASteenblik_p1_img1
20230905CAADRIASteenblik_p4_img1_cap,20230905CAADRIASteenblik_p4_img1
20230905CAADRIASteenblik_p4_img2_cap,20230905CAADRIASteenblik_p4_img2
20230905CAADRIASteenblik_p4_img3_cap,20230905CAADRIASteenblik_p4_img3
20230905CAADRIASteenblik_p4_img4_cap,20230905CAADRIASteenblik_p4_img4
20230905CAADRIASteenblik_p4_img5_cap,20230905CAADRIASteenblik_p4_img5
20230905CAADRIASteenblik_p4_img6_cap,20230905CAADRIASteenblik_p4_img6
20230905CAADRIASteenblik_p4_img7_cap,20230905CAADRIASteenblik_p4_img7
20230905CAADRIASteenblik_p4_img8_cap,20230905CAADRIASteenblik_p4_img8
20230905CAADRIASteenblik_p4_img9_cap,20230905CAADRIASteenblik_p4_img9
20230905CAADRIASteenblik_p4_img10_cap,20230905CAADRIASteenblik_p4_img10
20230905CAADRIASteenblik_p4_img11_cap,20230905CAADRIASteenblik_p4_img11
20230905CAADRIASteenblik_p4_img12_cap,20230905CAADRIASteenblik_p4_img12
20230905CAADRIASteenblik_p4_img13_cap,20230905CAADRIASteenblik_p4_img13
20230905CAADRIASteenblik_p4_img14_cap,20230905CAADRIASteenblik_p4_img14
20230905CAADRIASteenblik_p6_img1_cap,20230905CAADRIASteenblik_p6_img1
20230905CAADRIASteenblik_p7_img1_cap,20230905CAADRIASteenblik_p7_img1
20230905CAADRIASteenblik_p8_img1_cap,20230905CAADRIASteenblik_p8_img1
20230905CAADRIASteenblik_p9_img1_cap,20230905CAADRIASteenblik_p9_img1
20230905CAADRIASteenblik_p9_img2_cap,20230905CAADRIASteenblik_p9_img2
20230905CAADRIASteenblik_p10_img1_cap,20230905CAADRIASteenblik_p10_img1
20230905CAADRIASteenblik_p11_img1_cap,20230905CAADRIASteenblik_p11_img1
20231109ABCSCollaborativeProcess_p1_full_cap,20231109ABCSCollaborativeProcess_p1_full
20231109ABCSCollaborativeProcess_p2_full_cap,20231109ABCSCollaborativeProcess_p2_full
20231109ABCSCollaborativeProcess_p3_full_cap,20231109ABCSCollaborativeProcess_p3_full
20231109ABCSCollaborativeProcess_p4_full_cap,20231109ABCSCollaborativeProcess_p4_full
20231109ABCSCollaborativeProcess_p5_full_cap,20231109ABCSCollaborativeProcess_p5_full
20231109ABCStewart_Page_01_p1_img1_cap,20231109ABCStewart_Page_01_p1_img1
20231109ABCStewart_Page_02_p1_img1_cap,20231109ABCStewart_Page_02_p1_img1
20231109ABCStewart_Page_03_p1_img1_cap,20231109ABCStewart_Page_03_p1_img1
20231109ABCStewart_Page_04_p1_img1_cap,20231109ABCStewart_Page_04_p1_img1
20231109ABCStewart_Page_05_p1_img1_cap,20231109ABCStewart_Page_05_p1_img1
20231109ABCStewart_Page_06_p1_img1_cap,20231109ABCStewart_Page_06_p1_img1
20231109ABCStewart_Page_10_p1_img1_cap,20231109ABCStewart_Page_10_p1_img1
20231109ABCStewart_Page_11_p1_img1_cap,20231109ABCStewart_Page_11_p1_img1
20231109ABCStewart_Page_12_p1_img1_cap,20231109ABCStewart_Page_12_p1_img1
20231109ABCStewart_Page_13_p1_img1_cap,20231109ABCStewart_Page_13_p1_img1
20231109ABCStewart_Page_14_p1_img1_cap,20231109ABCStewart_Page_14_p1_img1
20231109ABCStewart_Page_15_p1_img1_cap,20231109ABCStewart_Page_15_p1_img1
20231109ABCStewart_Page_16_p1_img1_cap,20231109ABCStewart_Page_16_p1_img1
20231109ABCStewart_Page_17_p1_img1_cap,20231109ABCStewart_Page_17_p1_img1
20231109ABCStewart_Page_18_p1_img1_cap,20231109ABCStewart_Page_18_p1_img1
20231109ABCStewart_Page_23_p1_img1_cap,20231109ABCStewart_Page_23_p1_img1
20231109ABCStewart_Page_24_p1_img1_cap,20231109ABCStewart_Page_24_p1_img1
20231109ABCStewart_Page_25_p1_img1_cap,20231109ABCStewart_Page_25_p1_img1
20231109ABCStewart_Page_26_p1_img1_cap,20231109ABCStewart_Page_26_p1_img1
94c1dc96-2957-4070-9c9d-4bb5a415068b_p1_img1_cap,94c1dc96-2957-4070-9c9d-4bb5a415068b_p1_img1
Graduate AI Expo 2024_p1_full_cap,Graduate AI Expo 2024_p1_full
Graduate AI Expo 2024_p2_full_cap,Graduate AI Expo 2024_p2_full
IMG_20240302_110248_p1_img1_cap,IMG_20240302_110248_p1_img1
IMG_20240302_110326_p1_img1_cap,IMG_20240302_110326_p1_img1
blocks_p1_img1_cap,blocks_p1_img1
page_render_img_embed_input_p1_full_cap,page_render_img_embed_input_p1_full
page_render_img_embed_input_p2_full_cap,page_render_img_embed_input_p2_full
page_render_img_embed_input_p3_full_cap,page_render_img_embed_input_p3_full
page_render_img_embed_input_p4_full_cap,page_render_img_embed_input_p4_full
trees_p1_img1_cap,trees_p1_img1
